fecha,y_true,y_pred,PI_lower,PI_upper
2022-07-01,216.52,32.58708143928706,21.96179841573302,43.2123644628411
2022-07-01,216.52,34.09132171358472,30.849005431500068,37.33363799566937
2022-08-01,250.89,31.601585421832773,27.86088114870206,35.34228969496348
2022-08-01,250.89,30.877089206862042,27.51237858696987,34.24179982675422
2022-08-01,250.89,32.38899780358836,-163.82206466967335,228.60006027685006
2022-08-01,250.89,28.991114255292914,18.03882320324404,39.94340530734179
2022-08-01,250.89,30.891629706336285,27.786138946982206,33.997120465690365
2022-09-01,216.27,44.65514952878218,40.822068277103675,48.48823078046069
2022-09-01,216.27,43.02703059118356,31.757216074211513,54.29684510815561
2022-09-01,216.27,45.076361425319604,-155.3547765796526,245.50749943029183
2022-09-01,216.27,44.122093937012885,40.87851462513026,47.36567324889551
2022-09-01,216.27,44.51818662551427,41.03538025160269,48.00099299942585
